video_time_s,main_2300_2700_hz,chirp_2880_3060_hz
4.565000,0.025085632,0.000009628
4.567000,0.023759920,0.000014660
4.569000,0.024697863,0.000022218
4.571000,0.025005245,0.000032520
4.573000,0.024469672,0.000061803
4.575000,0.023738380,0.000131597
4.577000,0.024913417,0.000231104
4.579000,0.027274080,0.000350149
4.581000,0.024351940,0.000444693
4.583000,0.018730254,0.000471748
4.585000,0.010431496,0.000442987
4.587000,0.004730429,0.000355661
4.589000,0.004257946,0.000220130
4.591000,0.006281393,0.000100128
4.593000,0.007746532,0.000155541
4.595000,0.006532921,0.000308773
4.597000,0.003918651,0.000416872
4.599000,0.001101821,0.000449468
4.601000,0.003402720,0.000479390
4.603000,0.006339946,0.000566585
4.605000,0.006810703,0.000561958
4.607000,0.005806091,0.000348831
4.609000,0.005499711,0.000147236
4.611000,0.003452210,0.000301993
4.613000,0.002211352,0.000288071
4.615000,0.004345414,0.000106379
4.617000,0.005170585,0.000159116
4.619000,0.004024028,0.000230404
4.621000,0.003182637,0.000155489
4.623000,0.001872080,0.000055208
4.625000,0.001410787,0.000057551
4.627000,0.001233887,0.000058881
4.629000,0.002470187,0.000047193
4.631000,0.007473798,0.000031037
4.633000,0.013560563,0.000020955
4.635000,0.020039803,0.000015256
4.637000,0.021873702,0.000013719
4.639000,0.020024457,0.000016827
4.641000,0.016705573,0.000020091
4.643000,0.016618669,0.000022719
4.645000,0.019951823,0.000022719
4.647000,0.022214414,0.000020165
4.649000,0.021668861,0.000015760
4.651000,0.020582324,0.000012799
4.653000,0.022009664,0.000008488
4.655000,0.024022015,0.000003743
4.657000,0.023807055,0.000002759
4.659000,0.023513278,0.000003986
4.661000,0.023873986,0.000007384
4.663000,0.023382042,0.000009401
4.665000,0.023086581,0.000007853
4.667000,0.024233050,0.000010617
4.669000,0.024333873,0.000007213
4.671000,0.022768120,0.000007541
4.673000,0.022287916,0.000004704
4.675000,0.023259806,0.000002842
4.677000,0.024492738,0.000002338
4.679000,0.023927923,0.000002270
4.681000,0.019107181,0.000001921
4.683000,0.012091766,0.000003815
4.685000,0.006592436,0.000002480
4.687000,0.004899835,0.000004330
4.689000,0.006630808,0.000001714
4.691000,0.009674204,0.000001501
4.693000,0.009074023,0.000006388
4.695000,0.006168800,0.000014740
4.697000,0.004427045,0.000009914
4.699000,0.005488420,0.000037589
4.701000,0.006534179,0.000071228
4.703000,0.006852959,0.000050341
4.705000,0.005049891,0.000103266
4.707000,0.004312185,0.000272674
4.709000,0.003603522,0.000322611
4.711000,0.001810654,0.000161450
4.713000,0.002833872,0.000213511
4.715000,0.003134274,0.000430326
4.717000,0.003457388,0.000394337
4.719000,0.003983057,0.000139659
4.721000,0.003587001,0.000319713
4.723000,0.002906047,0.000457623
4.725000,0.002225765,0.000301053
4.727000,0.002662008,0.000109099
4.729000,0.005702584,0.000288717
4.731000,0.012493357,0.000302227
4.733000,0.018749005,0.000164038
4.735000,0.020342910,0.000036583
4.737000,0.018908624,0.000074343
4.739000,0.016637011,0.000054599
4.741000,0.014949884,0.000013291
4.743000,0.018168031,0.000013882
4.745000,0.020871075,0.000012867
4.747000,0.020408089,0.000004328
4.749000,0.019557101,0.000006069
4.751000,0.019709552,0.000004937
4.753000,0.020465347,0.000002220
4.755000,0.020314209,0.000002436
4.757000,0.020370497,0.000001947
4.759000,0.022766274,0.000003200
4.761000,0.024187123,0.000003368
4.763000,0.023447764,0.000002435
4.765000,0.024832229,0.000000749
4.767000,0.024820068,0.000000503
4.769000,0.023343632,0.000000763
4.771000,0.024458535,0.000000885
4.773000,0.024954734,0.000001309
4.775000,0.024651062,0.000000445
4.777000,0.025126409,0.000001246
4.779000,0.025696347,0.000001632
4.781000,0.025849466,0.000002832
4.783000,0.025964819,0.000007266
4.785000,0.026022800,0.000009958
4.787000,0.025762176,0.000010362
4.789000,0.025136690,0.000013041
4.791000,0.024816726,0.000016256
4.793000,0.024268328,0.000018615
4.795000,0.024042130,0.000020064
4.797000,0.024110219,0.000018449
4.799000,0.022523880,0.000015949
4.801000,0.022402596,0.000011513
4.803000,0.024210199,0.000010046
4.805000,0.023773988,0.000007616
4.807000,0.025629451,0.000009583
